product_title,product_vendor,product_type,sale_kind,order_id,customer_id,hour_of_day,day_of_week,month_of_year,day,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,units_per_transaction,ordered_item_quantity
AXIS II™ Battery,vendor-unknown,SPARE PARTS,order,1170865193050,1221600051290,12,Sunday,April,2019-04-21,2019,9,71.910,-17.910,0.000,54.000,0.000,54.000,9,9
Director HD™ MOTOR SET,vendor-unknown,SPARE PARTS,order,1579351638106,1442113028186,12,Wednesday,September,2019-09-11,2019,8,119.920,-59.920,0.000,60.000,0.000,60.000,8,8
SLIPSTREAM WIFI BATTERY,vendor-unknown,SPARE PARTS,order,2031034007642,2882673999962,23,Tuesday,December,2019-12-24,2019,7,69.930,-34.960,0.000,34.970,0.000,34.970,7,7
AeroDrone™ MAIN GEAR,vendor-unknown,SPARE PARTS,order,1821166895194,2603925307482,22,Monday,October,2019-10-21,2019,6,5.940,0.000,0.000,5.940,0.430,6.370,6,6
VideoDrone AP and VideoDrone FX Battery,vendor-unknown,SPARE PARTS,order,1418135109722,1422187528282,20,Saturday,June,2019-06-29,2019,6,59.940,-29.940,0.000,30.000,0.000,30.000,6,6
Pixie™ Battery,vendor-unknown,SPARE PARTS,order,1534158471258,1570964045914,21,Thursday,August,2019-08-22,2019,6,47.940,-23.940,0.000,24.000,0.000,24.000,6,6
Vento™ Wifi Drone with Live Streaming Camera,vendor-unknown,PROTOCOL AIR,order,1927274037338,2776057151578,17,Sunday,November,2019-11-24,2019,6,359.940,0.000,0.000,359.940,0.000,359.940,6,6
Kaptur GPS™ and Kaptur™ USB Charger,vendor-unknown,SPARE PARTS,order,1702112755802,2305926070362,14,Monday,September,2019-09-23,2019,6,59.940,-29.940,0.000,30.000,0.000,30.000,6,6
VIDEO DRONE AP PINION GEAR SET,vendor-unknown,SPARE PARTS,order,1135617835098,1180161310810,11,Saturday,March,2019-03-30,2019,6,11.940,-5.940,0.000,6.000,0.000,6.000,6,6
AeroDrone™ BATTERY,vendor-unknown,SPARE PARTS,order,1823342657626,1615547924570,20,Tuesday,October,2019-10-22,2019,6,47.940,0.000,0.000,47.940,4.140,52.080,6,6
VideoDrone GPS™ Battery,PROTOCOLNY.COM,SPARE PARTS,order,1907349782618,2751587582042,10,Monday,November,2019-11-18,2019,6,119.940,-59.940,0.000,60.000,0.000,60.000,6,6
Corsa VR™ Drone Racer with Live Streaming Camera,vendor-unknown,PROTOCOL AIR,order,1931267342426,2781741973594,2,Tuesday,November,2019-11-26,2019,5,499.950,0.000,0.000,499.950,0.000,499.950,5,5
