original_query,hour_of_day,month,week,day,hour,day_of_week,month_of_year,total_searches
aviator tail motor set,19,2020-03,2020-W09,2020-03-01,2020-03-01 19:00:00,Sunday,March,2
kaptur gps main gear,10,2020-03,2020-W10,2020-03-05,2020-03-05 10:00:00,Thursday,March,2
video drone ap,18,2020-03,2020-W10,2020-03-06,2020-03-06 18:00:00,Friday,March,2
kaptur,17,2020-02,2020-W09,2020-02-29,2020-02-29 17:00:00,Saturday,February,2
galileo stealth,12,2020-03,2020-W10,2020-03-03,2020-03-03 12:00:00,Tuesday,March,2
protocol kapture gps 2 parts,4,2020-02,2020-W09,2020-02-29,2020-02-29 04:00:00,Saturday,February,2
contact by phone,22,2020-02,2020-W09,2020-02-29,2020-02-29 22:00:00,Saturday,February,1
dronium 3x,18,2020-02,2020-W09,2020-02-29,2020-02-29 18:00:00,Saturday,February,1
slpstream protocol,5,2020-03,2020-W10,2020-03-02,2020-03-02 05:00:00,Monday,March,1
dronium 3x,21,2020-03,2020-W09,2020-03-01,2020-03-01 21:00:00,Sunday,March,1
protocol director,15,2020-03,2020-W10,2020-03-02,2020-03-02 15:00:00,Monday,March,1
app for apple,18,2020-03,2020-W10,2020-03-06,2020-03-06 18:00:00,Friday,March,1
aerodrone serial number,10,2020-02,2020-W09,2020-02-29,2020-02-29 10:00:00,Saturday,February,1
tracerjet,17,2020-03,2020-W10,2020-03-06,2020-03-06 17:00:00,Friday,March,1
protocol,11,2020-03,2020-W10,2020-03-03,2020-03-03 11:00:00,Tuesday,March,1
axis,19,2020-03,2020-W10,2020-03-04,2020-03-04 19:00:00,Wednesday,March,1
tail motor,19,2020-03,2020-W10,2020-03-04,2020-03-04 19:00:00,Wednesday,March,1
all in boxing set,2,2020-02,2020-W09,2020-02-29,2020-02-29 02:00:00,Saturday,February,1
landing,23,2020-03,2020-W09,2020-03-01,2020-03-01 23:00:00,Sunday,March,1
order,11,2020-03,2020-W10,2020-03-06,2020-03-06 11:00:00,Friday,March,1
protocal air,20,2020-03,2020-W10,2020-03-04,2020-03-04 20:00:00,Wednesday,March,1
katur gps ll gears,8,2020-03,2020-W09,2020-03-01,2020-03-01 08:00:00,Sunday,March,1
manual,8,2020-03,2020-W10,2020-03-02,2020-03-02 08:00:00,Monday,March,1
dronium,11,2020-03,2020-W10,2020-03-03,2020-03-03 11:00:00,Tuesday,March,1
heli raider,18,2020-02,2020-W09,2020-02-29,2020-02-29 18:00:00,Saturday,February,1
how do you know when its charged,5,2020-03,2020-W10,2020-03-02,2020-03-02 05:00:00,Monday,March,1
app,16,2020-03,2020-W09,2020-03-01,2020-03-01 16:00:00,Sunday,March,1
gear set,12,2020-03,2020-W10,2020-03-02,2020-03-02 12:00:00,Monday,March,1
predator,23,2020-02,2020-W09,2020-02-29,2020-02-29 23:00:00,Saturday,February,1
