day,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion
2019-01-01,0,0,0,0,0
2019-01-02,0,0,0,0,0
2019-01-03,0,0,0,0,0
2019-01-04,0,0,0,0,0
2019-01-05,0,0,0,0,0
2019-01-06,0,0,0,0,0
2019-01-07,0,0,0,0,0
2019-01-08,0,0,0,0,0
2019-01-09,0,0,0,0,0
2019-01-10,0,0,0,0,0
2019-01-11,0,0,0,0,0
2019-01-12,0,0,0,0,0
2019-01-13,0,0,0,0,0
2019-01-14,0,0,0,0,0
2019-01-15,0,0,0,0,0
2019-01-16,0,0,0,0,0
2019-01-17,0,0,0,0,0
2019-01-18,0,0,0,0,0
2019-01-19,0,0,0,0,0
2019-01-20,0,0,0,0,0
2019-01-21,0,0,0,0,0
2019-01-22,0,0,0,0,0
2019-01-23,0,0,0,0,0
2019-01-24,0,0,0,0,0
2019-01-25,0,0,0,0,0
2019-01-26,0,0,0,0,0
2019-01-27,0,0,0,0,0
2019-01-28,0,0,0,0,0
2019-01-29,1,0,0,0,0
2019-01-30,0,0,0,0,0
2019-01-31,0,0,0,0,0
2019-02-01,0,0,0,0,0
2019-02-02,0,0,0,0,0
2019-02-03,0,0,0,0,0
2019-02-04,0,0,0,0,0
2019-02-05,0,0,0,0,0
2019-02-06,4,0,0,0,0
2019-02-07,0,0,0,0,0
2019-02-08,2,0,0,0,0
2019-02-09,0,0,0,0,0
2019-02-10,1,0,0,0,0
2019-02-11,1,0,0,0,0
2019-02-12,0,0,0,0,0
2019-02-13,2,0,0,0,0
2019-02-14,0,0,0,0,0
2019-02-15,1,0,0,0,0
2019-02-16,0,0,0,0,0
2019-02-17,1,0,0,0,0
2019-02-18,0,0,0,0,0
2019-02-19,1,0,0,0,0
2019-02-20,5,1,0,0,0
2019-02-21,6,0,0,0,0
2019-02-22,3,0,0,0,0
2019-02-23,2,0,0,0,0
2019-02-24,4,1,0,0,0
2019-02-25,9,0,0,0,0
2019-02-26,6,0,0,0,0
2019-02-27,4,0,0,0,0
2019-02-28,5,0,0,0,0
2019-03-01,3,0,0,0,0
2019-03-02,0,0,0,0,0
2019-03-03,0,0,0,0,0
2019-03-04,3,0,0,0,0
2019-03-05,0,0,0,0,0
2019-03-06,0,0,0,0,0
2019-03-07,0,0,0,0,0
2019-03-08,1,0,0,0,0
2019-03-09,4,0,0,0,0
2019-03-10,5,0,0,0,0
2019-03-11,18,1,0,0,0
2019-03-12,42,2,4,1,0.0238
2019-03-13,78,8,4,2,0.02564
2019-03-14,144,10,4,2,0.01388
